,E1,E2,W1,W2,N1,N2,S1,S2,Central,NE,NW,SE,SW
224,307.0,208.333,637.757,412.946,266.484,369.384,393.701,251.244,327.582,395.0,379.648,300.831,853.323
225,567.0,956.123,442.851,373.712,393.258,352.014,314.961,327.582,286.462,416.0,370.838,449.313,400.288
226,580.0,834.959,368.554,305.556,337.079,284.171,497.996,556.151,327.582,558.0,439.383,589.977,471.744
227,524.0,116.462,414.365,465.64,369.465,373.134,573.237,438.778,376.865,354.0,386.551,485.075,656.386
228,591.0,349.386,656.622,223.952,320.274,307.694,459.13,452.936,376.865,372.0,299.862,269.071,295.359
229,572.0,471.635,650.199,277.778,365.169,527.692,157.48,438.778,251.244,461.0,472.727,455.468,608.532
230,557.0,294.628,536.367,300.463,310.263,353.986,324.654,280.899,280.899,530.0,327.273,318.806,596.715
231,369.0,368.285,398.403,377.819,258.976,250.306,157.48,376.865,280.899,736.0,587.473,344.013,270.174
232,486.0,523.431,504.096,373.712,339.411,425.439,314.961,327.582,0.0,712.0,243.935,486.508,270.174
233,717.0,260.417,371.647,590.564,258.976,403.606,393.701,286.462,251.244,562.0,262.222,497.823,215.149
234,545.0,214.745,331.492,471.405,429.693,403.606,283.902,238.351,341.728,699.0,229.984,449.313,448.529
235,524.0,316.811,410.665,424.009,320.274,455.468,352.137,280.899,359.726,354.0,516.824,320.982,471.744
236,525.0,593.841,331.492,500.0,422.284,333.741,424.029,607.677,359.726,461.0,459.968,559.701,440.519
237,545.0,329.404,469.613,339.071,422.284,425.439,401.498,231.635,251.244,658.0,262.222,474.922,382.084
238,565.0,368.285,470.425,370.602,308.989,261.194,551.181,405.118,302.537,335.0,524.444,477.845,179.014
239,553.0,593.841,497.238,290.009,320.274,471.982,393.701,359.726,251.244,803.0,243.935,389.564,304.266
240,565.0,232.924,718.232,433.903,355.312,373.134,567.803,280.899,224.719,384.0,386.551,502.001,456.399
241,443.0,260.417,613.359,503.077,337.079,671.642,236.22,341.728,359.726,658.0,358.14,263.846,604.127
242,591.0,375.578,359.116,370.602,258.976,337.888,236.22,517.952,476.701,421.0,312.812,374.995,681.666
243,652.0,419.909,383.769,530.694,251.244,471.982,324.654,302.537,359.726,465.0,257.13,263.846,298.357
244,676.0,379.172,558.667,351.364,266.484,507.518,352.137,359.726,280.899,530.0,308.556,436.743,573.902
245,389.0,265.574,469.613,250.0,308.989,412.14,352.137,620.526,438.778,803.0,293.173,271.646,471.744
